forecast;прогноз
crippled;хромой
persistent;постоянный
unloading;разгрузка
expose;делать видимым
explore;исследовать
throttling;удушение
throttler;душитель
elapsed;пройденный
stub;обрубок
accompanying;сопутствующий
concise;лаконичный
conduct;вести себя
grocery;гастроном
deliberately;намеренно
alike;одинаково
themselves;сами себя
aware;сознательный
evident;очевидный
stockpiling;накопление
slight;небольшой
finite;ограниченный
apparent;явный
predetermined;предрешённый
ensure;гарантировать
precedence;приоритет
compatibility;сочетаемость
capability;возможность
exploit;использовать
could;мог бы
campsite;палаточный лагерь 
why;зачем
south;Юг
by the way;кстати
attendant;обслуживающее лицо
overhead;наверху
disaster;катастрофа
lend;одалживать
look after;заботиться
mower;газонокосилка
lawn;газон
department;отдел
emphasize;акцентировать
due date;срок оплаты
thunk;резкий глухой стук
reducer;редуктор
pending;ожидающий подтверждения
solely;исключительно
impure;с примесью
presumably;вероятно
inseparable;неразрывный
subtitle;подзаголовок
ensure;удостовериться
road rage;агрессивное вождение
unusual;редкий
beautifully;прекрасно
nighthawk;сова
wet;мокрый
arrive;прибывать
remember;помнить
borderline;граница
reverse;переворачивать
sake;причина
potion;зелье
dwell;раздумывать
seem;казаться
stolen;украденный
rely;полагаться
robust;крепкий
conjunctive;совместный
exciting;захватывающий
drawback;недостаток
bin;мусорный ящик
thrilled;(радостно) взволнованный
refund;возвращать деньги
cosy;уютный
preposition;предлог 
handsome;красивый 
suitable;подходящий
bald;лысый
communicative;общительный
plump;полный
attractive;привлекательный
shy;застенчивый
proficiency;опытность
creepy;жуткий
takeaway;основная идея
buzz;жужжать
messy;беспорядочный
adjusted;урегулированный
undetectable;неопределяемый
manner;способ
involved;участвующий
perturbing;беспокоящий
fairly;довольно
adversarial;соперничающий
intriguing;интригующий
bash;сильно ударять
admit;признавать
disposal;право распоряжения
flawed;несовершенный
dissertation;диссертация
nursery;детская комната
camp;лагерь
craze;мания
untimely;преждевременный
demise;конец
perpetual;бесконечный
trend;общий курс
tide;подъём
tide;прилив
dimensionality;размещение в пространстве
sick;болеющий
bunch;набор
ailment;недомогание
indictment;обвинение
rant;напыщенная речь
significantly;значительно 
decade;десятилетие
honesty;честность
bandwagon;повальное увлечение
confidence;уверенность
tight;тугой
hype;шумиха
according;в соответствии
termination;окончание
graduate;выпускник
degree;уровень
tenacious;крепкий
essential;необходимый
outer;внешний
inspire;вдохновлять
unavoidable;неизбежный
fragile;хрупкий
advised;осведомлённый
stickiness;липкость
vary;отличаться
sticky;клейкий
discovery;открытие
vastly;широко
tremendous;огромный
approximately;приблизительно
warrant;оправдывать
terminate;завершать
distinction;различие
interchangeably;взаимозаменяемо
roughly;резко
span;промежуток
bandwidth;ресурсы, необходимые для выполнения задачи или проекта
consumable;потребляемый
homogenous;однородный
emergency;чрезвычайное положение
fault;ошибка
reliability;надежность
distill;очищать
rectify;исправлять
frankly;откровенно
treatment;лечение
pertain;относиться
fluid;жидкость
dearth;нехватка
purposefully;целенаправленно
unobtrusive;ненавязчивый
compatibility;совместимость
farm;ферма
settlement;поселение
inappropriate;неподходящий
vice;зло
guardian;защитник
aircraft;летательный аппарат
avalanche;шквал
surrounding;окружающий
behavioral;поведенческий
spend;проводить
occur;случаться
certainty;уверенность
disease;заболевание
ourselves;себя
trial;испытание
abnormally;ненормально
toss;бросать
humble;простой
seek;искать
occasional;периодический
adjust;регулировать
pave;вымостить
frustrated;недовольный
gain;получать
gang;банда
reluctance;нежелание
bean;фасоль
get up;вставать
suffer;страдать 
back row;задний ряд
mandatory;обязательный
intelligently;благоразумно
specified;заданный
offender;правонарушитель
utterance;высказывание
whole;целый
immutable;неизменный
suggest;предлагать
tiny;крошечный
fruitless;бесполезный
mindfulness;внимательность
mindfulness;осознанность
sniff;нюхать
facial;внешний
belt;пояс
blaring;рев
proud;гордый
incredibly;невероятно
honestly;честно
